0,업종,상호명,시도,구,도로명,주소,x,y
1,편의시설,(주)한일사약품,대구,북구,유통단지로24길,28(산격동),128.6163605,35.90722436
2,편의시설,가람대학약국,대구,북구,학정로109길,"41(학정동,E동1층)",128.5639673,35.95444565
3,편의시설,강남당약국,대구,북구,대현동,277-3번지,128.6108943,35.88015989
4,편의시설,강북동산약국,대구,북구,팔거천동로,"223,103호(동천동,수정빌딩)",128.5579185,35.94398644
5,편의시설,강북조은약국,대구,북구,학정동로,"45,1층(학정동)",128.5671804,35.94792123
6,편의시설,강북치과의원,대구,북구,칠곡중앙대로,516(읍내동),128.5508793,35.94155822
7,편의시설,건강백세약국,대구,북구,동북로,150(산격동),128.6090129,35.89986399
8,편의시설,건강한약국,대구,북구,구암로,146(구암동),128.5564337,35.93153755
9,편의시설,검단약국,대구,북구,검단로,"255상가2동102호(검단동,민들레아파트)",128.6281406,35.91633576
10,편의시설,경북정문약국,대구,북구,학정로,"551-20(학정동,학동빌딩)",128.5651067,35.95449658
11,편의시설,고마운치과,대구,북구,동암로,"104,5층(동천동)",128.5623874,35.94400792
12,편의시설,고운이치과의원,대구,북구,동변로,"91(동변동,3층)",128.6031081,35.92101407
13,편의시설,고은치과,대구,북구,중앙대로,"522(칠성동2가,3층)",128.5959679,35.87955086
14,편의시설,구주약국,대구,북구,구암로15길,22(읍내동),128.5497787,35.93442495
15,편의시설,국민당약국,대구,북구,칠성동,1가276-92번지,128.6047404,35.87655428
16,편의시설,국민당약국,대구,북구,칠성동,1가276-92번지,128.6047404,35.87655428
17,편의시설,국민약국,대구,북구,칠성시장로7길,28(칠성동1가),128.6025763,35.87603744
18,편의시설,국약국,대구,북구,구암로,150(구암동),128.5571169,35.93148363
19,편의시설,그린약국,대구,북구,팔달로,225(노원동2가),128.5748259,35.88805012
20,편의시설,금강약국,대구,북구,동변로,"24,225동107호(동변동,유니버시아드선수촌)",128.6025423,35.91623317
21,편의시설,금강약국,대구,북구,동변로,24유니버시아드선수촌2단지상가225동107호(동변동),128.6025423,35.91623317
22,편의시설,금빛약국,대구,북구,내곡로,"38,103호(사수동)",128.5098975,35.89898859
23,편의시설,기쁨큰치과,대구,북구,침산로,"168,4층403호(침산동,엠브로타워)",128.5906126,35.89119167
24,편의시설,김동응치과의원,대구,북구,동북로,174대구은행3층(산격동),128.6116674,35.89876955
25,편의시설,김명효치과,대구,북구,대현로,93-1(대현동),128.6094377,35.88269964
26,편의시설,김민정치과의원,대구,북구,호암로,30(칠성동2가),128.5938775,35.88233504
27,편의시설,김종헌치과의원,대구,북구,노원로,20(노원동3가),128.5652205,35.89106702
28,편의시설,김진홍치과의원,대구,북구,검단로,16(복현동),128.6155471,35.89925512
29,편의시설,나라약국,대구,북구,침산로,"173,110호(침산동)",128.5896846,35.89148394
30,편의시설,노원건강한약국,대구,북구,팔달로,31(노원동3가),128.5541849,35.89174511
31,편의시설,노원약국,대구,북구,노원로,86(노원동3가),128.571199,35.89453269
32,편의시설,노원치과의원,대구,북구,노원로,92(노원동3가),128.5717838,35.8948599
33,편의시설,다우약국,대구,북구,팔달로,143(노원동3가),128.5657267,35.88938664
34,편의시설,다정한치과의원,대구,북구,칠곡중앙대로,373(태전동),128.5474827,35.92912803
35,편의시설,민들레약국,대구,북구,연암로22길,"1,1층(산격동)",128.5944721,35.89420066
36,편의시설,박대근치과의원,대구,북구,대현로,96(대현동),128.6095284,35.88232265
37,편의시설,박대열치과,대구,북구,칠곡중앙대로,225(태전동),128.5477982,35.91598089
38,편의시설,박병준치과의원,대구,북구,구암로,"17상가308호(관음동,한양수정아파트)",128.5429342,35.93663893
39,편의시설,박성근치과,대구,북구,연암로,100-1(산격동),128.594325,35.89362508
40,편의시설,박약국,대구,북구,호암로,"20,126동110호(칠성동2가,성광우방타운)",128.5920247,35.88266294
41,편의시설,박하약국,대구,북구,대현로,88-1(대현동),128.6086327,35.88246964
42,편의시설,백약국,대구,북구,팔달로,231(노원동2가),128.5753224,35.88794853
43,편의시설,베스트인치과,대구,북구,동북로,"291,5층502호(복현동)",128.6221597,35.89277808
44,편의시설,벧엘치과의원,대구,북구,원대로,42-1(고성동2가),128.5809585,35.88128891
45,편의시설,보건정문약국,대구,북구,팔거천동로,"209,1층(동천동,대구보건대학교부설대구보건대학교병원)",128.5576717,35.94275626
46,편의시설,보민약국,대구,북구,노원동,1가9-5번지세종빌딩1층약국,128.5815429,35.8891089
47,편의시설,보성치과의원,대구,북구,침산남로,147(침산동),128.5921619,35.88856855
48,편의시설,복현성모약국,대구,북구,동북로,"268-1,1층(복현동)",128.6196305,35.89371075
49,편의시설,복현순치과의원,대구,북구,동북로,"345,3층301호(복현동,복현푸르지오상가)",128.627348,35.89258902
50,편의시설,복현이튼연합치과의원,대구,북구,공항로,8(복현동),128.6161013,35.89760399
51,편의시설,봄날에치과의원,대구,북구,동북로,297(복현동),128.6226033,35.89268432
52,편의시설,봄약국,대구,북구,칠곡중앙대로,519(읍내동),128.5502418,35.94213111
53,편의시설,북대구치과의원,대구,북구,칠곡중앙대로,529(읍내동),128.550473,35.94297861
54,편의시설,사과나무치과의원,대구,북구,동변로,24선수촌2단지224동202호(동변동),128.6025423,35.91623317
55,편의시설,사랑약국,대구,북구,침산남로,23(노원동1가),128.5787412,35.88875981
56,편의시설,산격약국,대구,북구,연암로,98-2(산격동),128.5945847,35.8932956
57,편의시설,산격현대약국,대구,북구,동북로,172(산격동),128.6112316,35.89890066
58,편의시설,새강북약국,대구,북구,칠곡중앙대로,"442,1층(읍내동)",128.5491513,35.93515658
59,편의시설,새민약국,대구,북구,동북로,"162,1층(산격동)",128.6103677,35.89923567
60,편의시설,새복현약국,대구,북구,공항로,71층(복현동),128.6228761,35.89936453
61,편의시설,새봄약국,대구,북구,동화천로,"245,106호(연경동)",128.617911,35.94265509
62,편의시설,새중앙약국,대구,북구,칠곡중앙대로,299(태전동),128.5465136,35.92227688
63,편의시설,샘결약국,대구,북구,동북로,"160,2층(산격동)",128.610094,35.89929395
64,편의시설,서변우리약국,대구,북구,호국로,"215,2층205호(서변동,대성골든프라자2차)",128.5988176,35.92085908
65,편의시설,서변제일약국,대구,북구,호국로43길,26(서변동),128.5963883,35.92120807
66,편의시설,서약국,대구,북구,구암로,"153,1층(동천동,동천빌딩)",128.5575152,35.93194535
67,편의시설,서울림치과,대구,북구,연경중앙로,"2,401호(연경동)",128.6184932,35.9426613
68,편의시설,서울약국,대구,북구,학정로,"436,101호(구암동)",128.5641612,35.94347323
69,편의시설,서춘교치과,대구,북구,칠성시장로,41(칠성동1가),128.6029791,35.87755887
70,편의시설,석약국,대구,북구,동북로,"291,1층106호(복현동)",128.6221597,35.89277808
71,편의시설,성모온누리약국,대구,북구,칠곡중앙대로,411(태전동),128.5479956,35.93252619
72,편의시설,성문약국,대구,북구,팔달로,153(노원동3가),128.5668109,35.88923264
73,편의시설,성문약국,대구,북구,팔달로,153(노원동3가),128.5668109,35.88923264
74,편의시설,세계로약국,대구,북구,칠곡중앙대로,"400,1층(태전동,종수빌딩)",128.5485651,35.93133754
75,편의시설,세계약국,대구,북구,동북로,198(산격동),128.6138663,35.89788917
76,편의시설,세란치과의원,대구,북구,칠곡중앙대로,384-1(태전동),128.54837,35.92999015
77,편의시설,세운약국,대구,북구,노원로,22(노원동3가),128.5654822,35.89127664
78,편의시설,센트럴치과,대구,북구,침산동,285-5.9명성프라임빌딩403,128.5918145,35.88880007
