0,업종,상호명,시도,구,도로명,주소,x,y
1,음식점,박대박왕소금구이,대구,북구,내곡로,"34,1층104호(사수동)",128.509849705179,35.8986463938384
2,음식점,본죽앤비빔밥(대구금호점),대구,북구,내곡로,"36,1층101호(사수동)",128.509859295686,35.8988189336567
3,음식점,핏짜보르도,대구,북구,내곡로,"36,2층201호(사수동)",128.509859295686,35.8988189336567
4,음식점,뼈큰감자탕금호점,대구,북구,내곡로,"30,201호,202호,203호(사수동)",128.509865297286,35.8982894323084
5,음식점,신참떡볶이대구금호점,대구,북구,내곡로,"38-2101호(사수동,중앙프라자)",128.509897517333,35.8989885902064
6,음식점,키즈몽사수점,대구,북구,내곡로,38-63층1호(사수동),128.509897517333,35.8989885902064
7,음식점,국수애,대구,북구,내곡로,"30-1,1층114호(사수동,골든프라자)",128.510456649689,35.8983318282511
8,음식점,커피홀(COFFEEHOLE),대구,북구,내곡로,"30-1,1층101호(사수동)",128.510456649689,35.8983318282511
9,음식점,수플레르,대구,북구,내곡로,"71,1층102호(사수동,동아프라자)",128.511282364951,35.9015490871669
10,음식점,카페일상,대구,북구,내곡로,"73,1층104호(사수동)",128.511509777325,35.9015968690831
11,음식점,타르트팜,대구,북구,내곡로,"73,1층106호(사수동,금강프라자)",128.511509777325,35.9015968690831
12,음식점,카페봄봄,대구,북구,한강로,"20,105호(사수동)",128.511652270396,35.896771939521
13,음식점,과일창고앤디저트커피,대구,북구,내곡로,75-11층101호(사수동),128.511719397469,35.901658391832
14,음식점,나드리김밥사수점,대구,북구,내곡로,"75,1층105호(사수동,대명프라자)",128.511719397469,35.901658391832
15,음식점,배고파,대구,북구,내곡로,"69상가동1층106호(사수동,대구금호엘에이치천년나무5단지)",128.51182618841,35.9031441243247
16,음식점,시골밥상,대구,북구,내곡로,"69상가동105호(사수동,대구금호엘에이치천년나무5단지)",128.51182618841,35.9031441243247
17,음식점,토마토분식,대구,북구,내곡로,"69상가동1층107호(사수동,대구금호엘에이치천년나무5단지)",128.51182618841,35.9031441243247
18,음식점,비스트로피자금호사수점,대구,북구,한강로,"17상가동1층127호(사수동,금호서한이다음)",128.512104542737,35.8973810095041
19,음식점,삼첩분식사수점,대구,북구,한강로,"17근린생활시설3동1층108호(사수동,금호서한이다음)",128.512104542737,35.8973810095041
20,음식점,신통치킨,대구,북구,한강로,"17,129호(사수동)",128.512104542737,35.8973810095041
21,음식점,상큼한남자들사수동점,대구,북구,내곡로,"77,101호(사수동)",128.512261119221,35.9017862016257
22,음식점,커피쿡사수점,대구,북구,내곡로,"81,107호(사수동,부광빌딩)",128.512731394046,35.9018204686785
23,음식점,사수산곰장어,대구,북구,한강로4길,"11,1층108호(사수동)",128.514528191302,35.8958416673065
24,음식점,배스킨라빈스대구금호,대구,북구,한강로,"46,1층(사수동)",128.514831377474,35.8969664430679
25,음식점,봄플라워카페,대구,북구,한강로6길,"14-1,1층104호(사수동)",128.514975705246,35.8960897856592
26,음식점,부촌추어탕,대구,북구,한강로6길,"18,1층109호(사수동)",128.514993224427,35.895753796077
27,음식점,파리바게뜨대구금호점,대구,북구,한강로,"50,1층(사수동)",128.515065311571,35.8970490106304
28,음식점,수메국수,대구,북구,한강로6길,4-5(사수동),128.515165569989,35.8967773104141
29,음식점,팔공한우&돈집,대구,북구,한강로6길,"4-5,1층(사수동)",128.515165569989,35.8967773104141
30,음식점,스마일찹쌀꽈배기,대구,북구,한강로,"52,102호(사수동)",128.515178643516,35.897062269289
31,음식점,푸라닭금호사수점,대구,북구,한강로6길,"8-4,1층(사수동)",128.515296112878,35.8966534671009
32,음식점,카페하즈,대구,북구,한강로6길,"16,1층109호(사수동)",128.515301097952,35.8957181005511
33,음식점,국수나무,대구,북구,한강로6길,"14,103호(사수동)",128.515318137601,35.8960600522014
34,음식점,보스파스타,대구,북구,한강로6길,14-1101호(사수동),128.515318137601,35.8960600522014
35,음식점,피자샵대구금호점,대구,북구,한강로6길,4-3(사수동),128.51531817427,35.8967940384262
36,음식점,소백산숯불갈비,대구,북구,한강로6길,"8-3,1층(사수동)",128.515341725542,35.8963794825527
37,음식점,박돈숯불돼지갈비,대구,북구,한강로6길,"8,1층(사수동)",128.515467204214,35.8966116572162
38,음식점,승짬뽕,대구,북구,한강로6길,8-71층(사수동),128.515467204214,35.8966116572162
39,음식점,60계치킨대구금호지구점,대구,북구,한강로6길,6(사수동),128.515477777486,35.8967189408419
40,음식점,팔도실비집금호지구점,대구,북구,한강로6길,"4,1층(사수동)",128.515501379764,35.8968415597962
41,음식점,피자마루(금호지구점),대구,북구,한강로,"56,1층(사수동)",128.515542306817,35.8971060714091
42,음식점,갓튀긴후라이드(금호사수점),대구,북구,한강로6길,"19,3층302호(사수동)",128.515708553375,35.89528247843
43,음식점,선산곱창.막창.삼겹살,대구,북구,한강로6길,"19,1층103호(사수동)",128.515708553375,35.89528247843
44,음식점,선술집,대구,북구,한강로6길,"19,1층(사수동)",128.515708553375,35.89528247843
45,음식점,1971김해뒷고기,대구,북구,한강로6길,7-61층(사수동),128.51573687489,35.8963612480978
46,음식점,경산청정숯불아나고곰장어,대구,북구,한강로6길,"7,1층(사수동)",128.51573687489,35.8963612480978
47,음식점,김가네소말뚝,대구,북구,한강로6길,7-111층(사수동),128.51573687489,35.8963612480978
48,음식점,화로애갈비,대구,북구,한강로6길,7-91층(사수동),128.51573687489,35.8963612480978
49,음식점,김태주선산곱창,대구,북구,한강로6길,3-61층(사수동),128.515792107584,35.8968125676561
50,음식점,MOM김밥천국,대구,북구,한강로6길,15(사수동),128.51580971264,35.8956739226412
51,음식점,놀부보쌈부대찌개(금호사수점),대구,북구,한강로6길,"15,203호(사수동)",128.51580971264,35.8956739226412
52,음식점,숯불족발쪽갈비,대구,북구,한강로6길,"15,1층102호(사수동)",128.51580971264,35.8956739226412
53,음식점,쉼카페,대구,북구,한강로6길,"15,403호(사수동,썸필링타워)",128.51580971264,35.8956739226412
54,음식점,시골숯불치킨,대구,북구,한강로6길,"15,1층102호(사수동)",128.51580971264,35.8956739226412
55,음식점,커피왕,대구,북구,한강로,"58,1층(사수동)",128.51583754978,35.8970872952669
56,음식점,술퍼마켓,대구,북구,한강로,58-1(사수동),128.515964889779,35.8970801004635
57,음식점,태영생막창,대구,북구,한강로6길,7-5(사수동),128.516019140724,35.8966203697604
58,음식점,남매한우막구이,대구,북구,한강로6길,"19-1,1층103호(사수동)",128.51602844915,35.8952559111463
59,음식점,킹콩쥬스엔청춘핫도그대구금호점,대구,북구,한강로6길,"19-1,101호(사수동,시티프라자)",128.51602844915,35.8952559111463
60,음식점,교촌치킨금호지구점,대구,북구,한강로,60-11층(사수동),128.51609222535,35.8970668678772
61,음식점,교촌치킨,대구,북구,한강로,"60-1,1층(사수동)",128.51621998585,35.8970584959993
62,음식점,풍미작렬고기편금호점,대구,북구,한강로,60-1(사수동),128.51621998585,35.8970584959993
63,음식점,국가대표가오리무침회,대구,북구,한강로6길,"15-1,1층108호(사수동,천운빌딩)",128.516240579767,35.8956239657525
64,음식점,코야왕소금구이,대구,북구,한강로6길,15-1(사수동),128.516240579767,35.8956239657525
65,음식점,놀러,대구,북구,한강로6길,"19-2,2층203호(사수동)",128.516326399977,35.895193664255
66,음식점,대구사수점원할머니보쌈족발,대구,북구,한강로6길,"19-2,105호(사수동)",128.516326399977,35.895193664255
67,음식점,대구사수점원할머니보쌈족발,대구,북구,한강로6길,"19-2,1층105호(사수동,광장프라자)",128.516326399977,35.895193664255
68,음식점,충무돈가,대구,북구,한강로,"62,1층101호(사수동)",128.516345201323,35.8970502462413
69,음식점,금호해천가,대구,북구,한강로6길,"3-12,1층(사수동)",128.516417431226,35.8967377164433
70,음식점,금호짬뽕전문점,대구,북구,한강로8길,"8-16,1층(금호동)",128.517212725351,35.8964812053414
71,음식점,칠곡원조아나고꼼장어,대구,북구,한강로8길,"4-13,1층(금호동)",128.517222731676,35.8966631111507
72,음식점,비에이치시(BHC금호사랑점),대구,북구,한강로8길,4-11(금호동),128.517372829074,35.8966355316584
73,음식점,통큰도시락,대구,북구,한강로8길,"20,1층118호(금호동,동림프라자)",128.517555823829,35.8954768635782
74,음식점,고기듬뿍대왕비빔밥사수점,대구,북구,한강로8길,14-21층105호(금호동),128.517940402706,35.8958391308397
75,음식점,박대표숯닭전문점,대구,북구,한강로,"78-1,1층(금호동)",128.518136860471,35.8968473765419
76,음식점,소소갈비,대구,북구,한강로8길,"19,101호(금호동)",128.518306966534,35.8954145604522
77,음식점,굽는소리,대구,북구,한강로8길,7-41층(금호동),128.518320903489,35.8961210658259
78,음식점,팔도궁중찜닭(사수점),대구,북구,한강로8길,13-13103호(금호동),128.518347055906,35.8957971322724
79,음식점,금호대목련차이나,대구,북구,한강로8길,3(금호동),128.518380132699,35.8965779206327
80,음식점,삼거리회수산,대구,북구,한강로,"82,1층(금호동)",128.518549173183,35.8967998987834
81,음식점,황금닭,대구,북구,한강로8길,"7-5,1층(금호동)",128.518622211704,35.8963736324453
82,음식점,보라키친대구점,대구,북구,한강로,88-11층(금호동),128.519071239949,35.896705973645
83,음식점,불야시불닭발금호사수점,대구,북구,한강로8길,"21-3,1층102호(금호동)",128.519205192613,35.8949237875178
84,음식점,봉수아피자금호지구점,대구,북구,한강로,"90-1,1층(금호동)",128.519444034604,35.8965959123168
85,음식점,대구사격장구내매점,대구,북구,문주길,"170,1층(금호동,대구사격장)",128.524326610589,35.911306181603
86,음식점,(주)보람물류/금호터미널구내식당,대구,북구,서재로,540금호공영화물터미널102호(금호동),128.53026477482,35.886255507079
87,음식점,가든반찬식당,대구,북구,장태실2길,"57,1층(팔달동)",128.536768219972,35.8971827709477
88,음식점,개나리한정식,대구,북구,매천로동17길,"13,1층(매천동)",128.540102954383,35.9057540985511
89,음식점,밀또카페,대구,북구,관음로,"43,1층(관음동)",128.540120116154,35.9347705160306
90,음식점,치킨플러스,대구,북구,매천로25길,11-1(매천동),128.540213000915,35.9077514270681
91,음식점,상록푸드,대구,북구,태전동,214-47,128.540391395822,35.9231388763296
92,음식점,경미순대,대구,북구,매천로15길,2-6(매천동),128.54059023893,35.9038415634795
93,음식점,홍천뚝배기,대구,북구,매천로17길,6(매천동),128.540639787453,35.9045176880105
94,음식점,성주식당,대구,북구,매천로17길,3(매천동),128.540653645528,35.9043298015608
95,음식점,퇴근길포차차,대구,북구,매천로,77-12층(매천동),128.540711972679,35.9041046678242
96,음식점,나드리분식매천점,대구,북구,매천로,73태전휴먼시아1단지103호(매천동),128.540743963374,35.9037551534808
97,음식점,한돈프라자,대구,북구,매천로,83-1(매천동),128.540777166495,35.9046621809633
98,음식점,북성로우동,대구,북구,매천로17길,2(매천동),128.540814348644,35.9044775997552
99,음식점,금수강산,대구,북구,장태실1길,21(팔달동),128.540848570124,35.8984558836343
100,음식점,카페소셜랩,대구,북구,매천로37길,"15,1층(매천동)",128.541021348844,35.9139346207857
101,음식점,혜성제과,대구,북구,매천로,101(매천동),128.541062179473,35.9061424389939
102,음식점,길안천자연산잡어매운탕,대구,북구,매천로,137(매천동),128.541779003766,35.9092967049958
103,음식점,행운대반점,대구,북구,태전로,87(태전동),128.541819549552,35.9276221976835
104,음식점,비에이치(BH),대구,북구,태전로,"92,43동대구보건대학연마동(태전동)",128.541841307516,35.9290165256403
105,음식점,비에이치(BH),대구,북구,태전로,"92,43동(태전동,대구보건대학연마동)",128.541841307516,35.9290165256403
106,음식점,간이역(매천더휴역점),대구,북구,매전로4길,"32,404동407호(매천동,한신더휴웨스턴팰리스)",128.541899276665,35.9062301862358
107,음식점,바사쿠치킨,대구,북구,매전로4길,"32,403동지하1층304호(매천동,한신더휴웨스턴팰리스)",128.541899276665,35.9062301862358
108,음식점,팔공외식산업,대구,북구,태전로13길,"12(태전동,그린하이츠)",128.541945208199,35.9251811011191
109,음식점,통영굴국밥국수,대구,북구,관음로,133(관음동),128.541959518368,35.9423294557002
110,음식점,회나무집,대구,북구,태전로13길,12-2(태전동),128.541959984247,35.9250862012272
111,음식점,살다보면,대구,북구,태전로13길,10-7(태전동),128.541984376695,35.9253438849628
112,음식점,특별한오늘,대구,북구,태전로15길,6-11층(태전동),128.542107067235,35.9267324109312
113,음식점,해주명가,대구,북구,태전로13길,"19,1층(태전동)",128.54223367131,35.9241978532169
114,음식점,교촌치킨,대구,북구,매전로,2-11층(매천동),128.542269168307,35.9086179748978
115,음식점,포항물회,대구,북구,매전로,2-11층(매천동),128.542269168307,35.9086179748978
116,음식점,세자매솥뚜껑삼겹살,대구,북구,영송로,"63상가동103호(태전동,칠곡관음타운)",128.542518005747,35.9317625309693
117,음식점,(신)청하루,대구,북구,태전로13길,"10(태전동,태원2차빌라)",128.542532476836,35.9253672110349
118,음식점,치킨에취하닭,대구,북구,태전로13길,"10A동1층103호(태전동,태원2차빌라)",128.542532476836,35.9253672110349
119,음식점,춘천황토닭갈비매천점,대구,북구,매전로,2-1(매천동),128.542543595059,35.9086263442855
120,음식점,해주가,대구,북구,매전로4길,6-17(매천동),128.542638805855,35.9082471808109
121,음식점,커피드로우,대구,북구,매전로4길,6-17(매천동),128.542638805855,35.9082471808109
122,음식점,태영생막창,대구,북구,태전로13길,"7,1층(태전동)",128.542649766361,35.9250457981333
123,음식점,달인의찜닭(태전점),대구,북구,태전로1길,"34,B동9호(태전동)",128.542675627893,35.9198810165721
