0,업종,상호명,시도,구,도로명,주소,x,y
1,마트·편의점,(구)화원식육점,대구,북구,검단북로11길,11(검단동),128.6104838,35.91596424
2,마트·편의점,(주)국이축산물센타,대구,북구,검단북로,198(검단동),128.6276078,35.91628648
3,마트·편의점,(주)굿푸드시스템,대구,북구,매천로,163(매천동),128.5419158,35.91187006
4,마트·편의점,(주)금성농산,대구,북구,매천로18길,34(매천동),128.5432494,35.90086265
5,마트·편의점,(주)달구벌종합유통대현점,대구,북구,대현남로6길,25(대현동),128.6099329,35.88023587
6,마트·편의점,(주)대구종합수산시장,대구,북구,매천로,63(매천동),128.5400701,35.90261817
7,마트·편의점,(주)대농,대구,북구,매천로18길,34(매천동),128.5432494,35.90086265
8,마트·편의점,(주)대프리카칠곡지점,대구,북구,구암로50길,"17상가동지하층001호(관음동,칠곡2차수정한양아파트)",128.5667869,35.93426414
9,마트·편의점,(주)대흥식품,대구,북구,검단공단로21길,54-34(산격동),128.606668,35.91158133
10,마트·편의점,(주)동남수산,대구,북구,매천로15길,5(매천동),128.5402896,35.90334303
11,마트·편의점,(주)동동,대구,북구,매천로18길,"34,1층효성청과내중도매인1126(매천동)",128.5432494,35.90086265
12,마트·편의점,(주)동희상회,대구,북구,매천로18길,34(매천동),128.5432494,35.90086265
13,마트·편의점,(주)매천수산,대구,북구,매천로,63(매천동),128.5400701,35.90261817
14,마트·편의점,(주)매천수산,대구,북구,매천로,63(매천동),128.5400701,35.90261817
15,마트·편의점,(주)바다플러스,대구,북구,매천동,165-2,128.5419944,35.91187392
16,마트·편의점,(주)백운농산,대구,북구,칠성남로41길,5-2(칠성동1가),128.6024036,35.87667514
17,마트·편의점,(주)삼성농산,대구,북구,매천로18길,34(매천동),128.5432494,35.90086265
18,마트·편의점,(주)삼정농산,대구,북구,매천로18길,34(매천동),128.5432494,35.90086265
19,마트·편의점,(주)상록청과,대구,북구,매천로18길,34(매천동),128.5432494,35.90086265
20,마트·편의점,(주)상미,대구,북구,매천로18길,34중앙청과내(매천동),128.5432494,35.90086265
21,마트·편의점,(주)소백산한우프라자,대구,북구,학정로,109(태전동),128.5504534,35.91760536
22,마트·편의점,(주)수성비앤피칠성지점,대구,북구,칠성시장로,21(칠성동1가),128.6041463,35.87593926
23,마트·편의점,(주)수영청과,대구,북구,매천로18길,34(매천동),128.5432494,35.90086265
24,마트·편의점,(주)싱싱식품,대구,북구,매천로25길,10(매천동),128.5405853,35.90805592
25,마트·편의점,(주)아성축산,대구,북구,구암로42길,5(구암동),128.5629291,35.93097753
26,마트·편의점,(주)에스씨엠백(SCM100),대구,북구,칠곡중앙대로,"341,2층(태전동)",128.5470911,35.92624167
27,마트·편의점,(주)엠케이,대구,북구,검단공단로,60-13(검단동),128.6170111,35.91167162
28,마트·편의점,(주)영주청과,대구,북구,매천로18길,34(매천동),128.5432494,35.90086265
29,마트·편의점,(주)영진농산,대구,북구,매천로18길,"34,1123호(매천동)",128.5432494,35.90086265
30,마트·편의점,(주)영천식품,대구,북구,매천로18길,"34,A동38호(매천동,관련상가)",128.5432494,35.90086265
31,마트·편의점,(주)영풍식품,대구,북구,검단공단로,90(검단동),128.6145236,35.91330308
32,마트·편의점,(주)오케이유통,대구,북구,대천로18길,5(동천동),128.5585048,35.93637106
33,마트·편의점,(주)옥산유통,대구,북구,매천로18길,"34(매천동,북대구공판장)",128.5432494,35.90086265
34,마트·편의점,(주)우리식품제2공장,대구,북구,검단공단로21길,54-8(산격동),128.6092613,35.91085524
35,마트·편의점,(주)월드유통센터,대구,북구,장태실1길,43(팔달동),128.541676,35.90015447
36,마트·편의점,(주)월성청과,대구,북구,매천로18길,34(매천동),128.5432494,35.90086265
37,마트·편의점,(주)유성청과,대구,북구,매천로18길,"34(매천동,농산물도매시장(비상장조합내))",128.5432494,35.90086265
38,마트·편의점,(주)이대수산,대구,북구,매천로2길,3-15(팔달동),128.5422394,35.89857392
39,마트·편의점,(주)이푸드,대구,북구,칠곡중앙대로126길,41(읍내동),128.5553819,35.9481325
40,마트·편의점,(주)장보고식자재마트,대구,북구,칠곡중앙대로,21(팔달동),128.5479083,35.89816007
41,마트·편의점,(주)장보고식자재마트(칠곡점),대구,북구,칠곡중앙대로63길,6(태전동),128.5462076,35.924168
42,마트·편의점,(주)장보고식자재마트(칠성점),대구,북구,중앙대로,523(칠성동2가),128.595171,35.87996471
43,마트·편의점,(주)전일,대구,북구,칠곡중앙대로71길,17(태전동),128.5456205,35.927475
44,마트·편의점,(주)정담은,대구,북구,매천로,"91-1,2층(매천동)",128.5409055,35.90537577
45,마트·편의점,(주)정우수산,대구,북구,연암공원로11길,2(산격동),128.5993329,35.89631803
46,마트·편의점,(주)진명,대구,북구,매천동,527-3번지대양청과내,128.5431271,35.90229335
47,마트·편의점,(주)진명에프앤씨,대구,북구,모산골길,10-24(검단동),128.6256338,35.90766064
48,마트·편의점,(주)참농부,대구,북구,매천로18길,34(매천동),128.5432494,35.90086265
49,마트·편의점,(주)창대농산,대구,북구,매천로18길,34(매천동),128.5432494,35.90086265
50,마트·편의점,(주)컬러푸드,대구,북구,매천로15길,11(매천동),128.5395032,35.9033095
51,마트·편의점,(주)코리아세븐경북대북문점,대구,북구,대학로,63(산격동),128.6075354,35.89179409
52,마트·편의점,(주)코리아세븐대구고성점/1431호점,대구,북구,원대로,42-1(고성동2가),128.5809585,35.88128891
53,마트·편의점,(주)코리아세븐대구구암4호점/1296호점,대구,북구,구암동,695-2건영아파트103.104,128.558222,35.92953806
54,마트·편의점,(주)코리아세븐대구구암점/1030호점,대구,북구,구암로65길,52(구암동),128.564182,35.94172277
55,마트·편의점,(주)코리아세븐대구노원3가점/1032호점,대구,북구,노원로1길,102(노원동3가),128.5693253,35.89665542
56,마트·편의점,(주)코리아세븐대구대현점/938호점,대구,북구,대현로,63(대현동),128.6066323,35.88398601
57,마트·편의점,(주)코리아세븐대구동천미래점,대구,북구,동천로,138-10(동천동),128.5620932,35.94356857
58,마트·편의점,(주)코리아세븐대구동천한신점,대구,북구,동천로,125-4(동천동),128.5602925,35.94313512
59,마트·편의점,(주)코리아세븐대구롯데점,대구,북구,태평로,161(칠성동2가),128.5961292,35.87588495
60,마트·편의점,(주)코리아세븐대구보건대점,대구,북구,칠곡중앙대로69길,23(태전동),128.5448874,35.92680966
61,마트·편의점,(주)코리아세븐대구복현점/697호점,대구,북구,경진로,7(복현동),128.6140877,35.89569138
62,마트·편의점,(주)코리아세븐대구서변점/1247호점,대구,북구,호국로43길,25(서변동),128.5963844,35.92101239
63,마트·편의점,(주)코리아세븐대구읍내점,대구,북구,구암로15길,13(읍내동),128.5493542,35.93376675
64,마트·편의점,(주)코리아세븐대구칠곡국우점,대구,북구,구리로,184-1(국우동),128.5750959,35.94794979
65,마트·편의점,(주)코리아세븐대구태전2호점/1383호점,대구,북구,태전로6길,12(태전동),128.5452477,35.92397084
66,마트·편의점,(주)쿱스토어대구,대구,북구,침산남로,171(침산동),128.5944445,35.88781798
67,마트·편의점,(주)쿱스토어대구동천점,대구,북구,동천로23길,"8,1층(동천동,세신빌딩)",128.5597386,35.94222216
68,마트·편의점,(주)쿱스토어대구매천점,대구,북구,매전로4길,6-11(매천동),128.5429262,35.90820897
69,마트·편의점,(주)쿱스토어대구침산점,대구,북구,침산로,"168,1층104호,105호엠브로타워(침산동)",128.5906126,35.89119167
70,마트·편의점,(주)태봉,대구,북구,매천로18길,34중앙청과내(매천동),128.5432494,35.90086265
71,마트·편의점,(주)팔공S.F,대구,북구,매전로4길,20-21(매천동),128.5421748,35.90679761
72,마트·편의점,(주)푸드텍,대구,북구,칠곡중앙대로126길,13(읍내동),128.5545072,35.95023979
73,마트·편의점,(주)풍림농산,대구,북구,매천로18길,34관련상가B동61호(매천동),128.5432494,35.90086265
