0,업종,상호명,시도,구,도로명,주소,x,y
1,마트·편의점,(구)화원식육점,대구,북구,검단북로11길,11(검단동),128.6104838,35.91596424
2,음식점,(대구동천점)비비큐,대구,북구,동천로,53-13(동천동),128.558799,35.93640536
3,음식점,(맥)참숯불식육식당,대구,북구,유통단지로8길,70(산격동),128.6123833,35.9052082
4,음식점,(신)청하루,대구,북구,태전로13길,"10(태전동,태원2차빌라)",128.5425325,35.92536721
5,음식점,(언제나)봄베이커리,대구,북구,학남로1길,1(학정동),128.565774,35.94904826
6,음식점,(재)케이티그룹희망나눔재단북대구점,대구,북구,고성로,"141지하1층(고성동3가,KT북대구지사)",128.5814523,35.88186977
7,기타,(주)고봉에듀,대구,북구,동암로,110빅타운2층201호(동천동),128.5628344,35.94394199
8,마트·편의점,(주)국이축산물센타,대구,북구,검단북로,198(검단동),128.6276078,35.91628648
9,마트·편의점,(주)굿푸드시스템,대구,북구,매천로,163(매천동),128.5419158,35.91187006
10,마트·편의점,(주)금성농산,대구,북구,매천로18길,34(매천동),128.5432494,35.90086265
11,음식점,(주)느티나무아래,대구,북구,공평로,144(칠성동1가),128.6015161,35.87674393
12,마트·편의점,(주)달구벌종합유통대현점,대구,북구,대현남로6길,25(대현동),128.6099329,35.88023587
13,마트·편의점,(주)대구종합수산시장,대구,북구,매천로,63(매천동),128.5400701,35.90261817
14,마트·편의점,(주)대농,대구,북구,매천로18길,34(매천동),128.5432494,35.90086265
15,마트·편의점,(주)대프리카칠곡지점,대구,북구,구암로50길,"17상가동지하층001호(관음동,칠곡2차수정한양아파트)",128.5667869,35.93426414
16,음식점,(주)대현푸드,대구,북구,유통단지로8길,13-12(산격동),128.6081795,35.90459234
17,마트·편의점,(주)대흥식품,대구,북구,검단공단로21길,54-34(산격동),128.606668,35.91158133
18,마트·편의점,(주)동남수산,대구,북구,매천로15길,5(매천동),128.5402896,35.90334303
19,마트·편의점,(주)동동,대구,북구,매천로18길,"34,1층효성청과내중도매인1126(매천동)",128.5432494,35.90086265
20,마트·편의점,(주)동희상회,대구,북구,매천로18길,34(매천동),128.5432494,35.90086265
21,기타,(주)리조트휘트니스PT대구침산점,대구,북구,옥산로,118(고성동3가),128.5883206,35.88354464
22,음식점,(주)맛찬들왕소금구이,대구,북구,호국로39길,26(서변동),128.5963797,35.91914981
23,마트·편의점,(주)매천수산,대구,북구,매천로,63(매천동),128.5400701,35.90261817
24,마트·편의점,(주)매천수산,대구,북구,매천로,63(매천동),128.5400701,35.90261817
25,음식점,(주)몽돌,대구,북구,유통단지로7길,"21,3층(산격동)",128.6055537,35.90777047
26,마트·편의점,(주)바다플러스,대구,북구,매천동,165-2,128.5419944,35.91187392
27,마트·편의점,(주)백운농산,대구,북구,칠성남로41길,5-2(칠성동1가),128.6024036,35.87667514
28,음식점,(주)보람물류/금호터미널구내식당,대구,북구,서재로,540금호공영화물터미널102호(금호동),128.5302648,35.88625551
29,음식점,(주)비케이알버거킹대구산격DT점,대구,북구,검단로,29(산격동),128.6152141,35.9005567
30,음식점,(주)빨라쪼칠곡경복대학교병원,대구,북구,호국로,807자하1층(학정동),128.5652788,35.95614602
31,마트·편의점,(주)삼성농산,대구,북구,매천로18길,34(매천동),128.5432494,35.90086265
32,마트·편의점,(주)삼정농산,대구,북구,매천로18길,34(매천동),128.5432494,35.90086265
33,마트·편의점,(주)상록청과,대구,북구,매천로18길,34(매천동),128.5432494,35.90086265
34,마트·편의점,(주)상미,대구,북구,매천로18길,34중앙청과내(매천동),128.5432494,35.90086265
35,마트·편의점,(주)소백산한우프라자,대구,북구,학정로,109(태전동),128.5504534,35.91760536
36,마트·편의점,(주)수성비앤피칠성지점,대구,북구,칠성시장로,21(칠성동1가),128.6041463,35.87593926
37,마트·편의점,(주)수영청과,대구,북구,매천로18길,34(매천동),128.5432494,35.90086265
38,음식점,(주)신신까페,대구,북구,침산남로9길,"20,1층102호(침산동)",128.5812146,35.8908354
39,마트·편의점,(주)싱싱식품,대구,북구,매천로25길,10(매천동),128.5405853,35.90805592
40,기타,(주)쎄니트북대구지점,대구,북구,동암로,100(동천동),128.5617222,35.944081
41,마트·편의점,(주)아성축산,대구,북구,구암로42길,5(구암동),128.5629291,35.93097753
42,기타,(주)아영통상/부경자동차학원,대구,북구,칠곡중앙대로,243(태전동),128.5477,35.91768874
43,음식점,(주)앤티앤스프레즐삼성캠퍼스,대구,북구,호암로,"51,비동1층8호(침산동)",128.5959754,35.88368682
44,음식점,(주)앤티앤스프레즐삼성캠퍼스,대구,북구,호암로,"51,B동1층8호(침산동)",128.5959754,35.88368682
45,마트·편의점,(주)에스씨엠백(SCM100),대구,북구,칠곡중앙대로,"341,2층(태전동)",128.5470911,35.92624167
46,음식점,(주)에스앤에스숨숨쉬는순두부칠곡점,대구,북구,칠곡중앙대로,"643,1층(읍내동)",128.5536636,35.95309056
47,음식점,(주)에스앤에스컴퍼니치킨온더와플,대구,북구,호암로,51A동2층(침산동),128.5959754,35.88368682
48,마트·편의점,(주)엠케이,대구,북구,검단공단로,60-13(검단동),128.6170111,35.91167162
49,마트·편의점,(주)영주청과,대구,북구,매천로18길,34(매천동),128.5432494,35.90086265
50,마트·편의점,(주)영진농산,대구,북구,매천로18길,"34,1123호(매천동)",128.5432494,35.90086265
51,마트·편의점,(주)영천식품,대구,북구,매천로18길,"34,A동38호(매천동,관련상가)",128.5432494,35.90086265
52,마트·편의점,(주)영풍식품,대구,북구,검단공단로,90(검단동),128.6145236,35.91330308
53,마트·편의점,(주)오케이유통,대구,북구,대천로18길,5(동천동),128.5585048,35.93637106
54,마트·편의점,(주)옥산유통,대구,북구,매천로18길,"34(매천동,북대구공판장)",128.5432494,35.90086265
55,음식점,(주)요거프레소삼성창조캠퍼스,대구,북구,호암로,"51,B동1층8호(침산동)",128.5959754,35.88368682
56,마트·편의점,(주)우리식품제2공장,대구,북구,검단공단로21길,54-8(산격동),128.6092613,35.91085524
57,마트·편의점,(주)월드유통센터,대구,북구,장태실1길,43(팔달동),128.541676,35.90015447
58,마트·편의점,(주)월성청과,대구,북구,매천로18길,34(매천동),128.5432494,35.90086265
59,마트·편의점,(주)유성청과,대구,북구,매천로18길,"34(매천동,농산물도매시장(비상장조합내))",128.5432494,35.90086265
60,마트·편의점,(주)이대수산,대구,북구,매천로2길,3-15(팔달동),128.5422394,35.89857392
61,마트·편의점,(주)이푸드,대구,북구,칠곡중앙대로126길,41(읍내동),128.5553819,35.9481325
62,음식점,(주)인터불고엑스코,대구,북구,유통단지로,80(산격동),128.6112855,35.90699854
63,음식점,(주)인터불고엑스코,대구,북구,유통단지로,80(산격동),128.6112855,35.90699854
64,음식점,(주)인터불고엑스코,대구,북구,유통단지로,80신격동(산격동),128.6112855,35.90699854
65,마트·편의점,(주)장보고식자재마트,대구,북구,칠곡중앙대로,21(팔달동),128.5479083,35.89816007
66,마트·편의점,(주)장보고식자재마트(칠곡점),대구,북구,칠곡중앙대로63길,6(태전동),128.5462076,35.924168
67,마트·편의점,(주)장보고식자재마트(칠성점),대구,북구,중앙대로,523(칠성동2가),128.595171,35.87996471
68,마트·편의점,(주)전일,대구,북구,칠곡중앙대로71길,17(태전동),128.5456205,35.927475
69,마트·편의점,(주)정담은,대구,북구,매천로,"91-1,2층(매천동)",128.5409055,35.90537577
70,마트·편의점,(주)정우수산,대구,북구,연암공원로11길,2(산격동),128.5993329,35.89631803
71,기타,(주)지원이엔씨/롯데시네마프리미엄칠곡,대구,북구,학정로,"422(구암동,5층일부,6~9층)",128.5638821,35.9421823
