0,업종,상호명,시도,구,도로명,주소,x,y
1,스넥,(대구동천점)비비큐,대구,북구,동천로,53-13(동천동),128.558799,35.93640536
2,일반한식,(맥)참숯불식육식당,대구,북구,유통단지로8길,70(산격동),128.6123833,35.9052082
3,중국식,(신)청하루,대구,북구,태전로13길,"10(태전동,태원2차빌라)",128.5425325,35.92536721
4,제과점,(언제나)봄베이커리,대구,북구,학남로1길,1(학정동),128.565774,35.94904826
5,서양음식,(재)케이티그룹희망나눔재단북대구점,대구,북구,고성로,"141지하1층(고성동3가,KT북대구지사)",128.5814523,35.88186977
6,학원,(주)고봉에듀,대구,북구,동암로,110빅타운2층201호(동천동),128.5628344,35.94394199
7,농·축·수산품,(주)굿푸드시스템,대구,북구,매천로,163(매천동),128.5419158,35.91187006
8,농·축·수산품,(주)금성농산,대구,북구,매천로18길,34(매천동),128.5432494,35.90086265
9,일반한식,(주)느티나무아래,대구,북구,공평로,144(칠성동1가),128.6015161,35.87674393
10,농·축·수산품,(주)대구종합수산시장,대구,북구,매천로,63(매천동),128.5400701,35.90261817
11,농·축·수산품,(주)대농,대구,북구,매천로18길,34(매천동),128.5432494,35.90086265
12,일반한식,(주)대현푸드,대구,북구,유통단지로8길,13-12(산격동),128.6081795,35.90459234
13,농·축·수산품,(주)동남수산,대구,북구,매천로15길,5(매천동),128.5402896,35.90334303
14,농·축·수산품,(주)동동,대구,북구,매천로18길,"34,1층효성청과내중도매인1126(매천동)",128.5432494,35.90086265
15,농·축·수산품,(주)동희상회,대구,북구,매천로18길,34(매천동),128.5432494,35.90086265
16,헬스클럽,(주)리조트휘트니스PT대구침산점,대구,북구,옥산로,118(고성동3가),128.5883206,35.88354464
17,일반한식,(주)맛찬들왕소금구이,대구,북구,호국로39길,26(서변동),128.5963797,35.91914981
18,농·축·수산품,(주)매천수산,대구,북구,매천로,63(매천동),128.5400701,35.90261817
19,농·축·수산품,(주)매천수산,대구,북구,매천로,63(매천동),128.5400701,35.90261817
20,일반한식,(주)몽돌,대구,북구,유통단지로7길,"21,3층(산격동)",128.6055537,35.90777047
21,농·축·수산품,(주)바다플러스,대구,북구,매천동,165-2,128.5419944,35.91187392
22,농·축·수산품,(주)백운농산,대구,북구,칠성남로41길,5-2(칠성동1가),128.6024036,35.87667514
